Fe,Density=7.874,
"Energy(eV),","Delta,",Beta
5647.82666,4.51E-05,1.32E-06
5686.45361,4.45E-05,1.29E-06
5725.34521,4.38E-05,1.26E-06
5764.50244,4.32E-05,1.22E-06
5803.92773,4.25E-05,1.19E-06
5843.62256,4.19E-05,1.16E-06
5883.58936,4.13E-05,1.13E-06
5923.82861,4.07E-05,1.11E-06
5964.34375,4.01E-05,1.08E-06
6005.13574,3.95E-05,1.05E-06
6046.20654,3.89E-05,1.02E-06
6087.55811,3.83E-05,9.98E-07
6129.19336,3.78E-05,9.73E-07
6171.1123,3.72E-05,9.49E-07
6213.31885,3.66E-05,9.25E-07
6255.81348,3.61E-05,9.01E-07
6298.59863,3.55E-05,8.79E-07
6341.67725,3.50E-05,8.57E-07
6385.0498,3.44E-05,8.35E-07
6428.71924,3.39E-05,8.14E-07
6472.68701,3.33E-05,7.94E-07
6516.95605,3.28E-05,7.74E-07
6561.52734,3.23E-05,7.54E-07
6606.40332,3.17E-05,7.35E-07
6651.58643,3.12E-05,7.17E-07
6697.0791,3.06E-05,6.99E-07
6742.88232,3.01E-05,6.81E-07
6788.99902,2.95E-05,6.64E-07
6835.43115,2.89E-05,6.47E-07
6882.18066,2.83E-05,6.31E-07
6929.25,2.76E-05,6.15E-07
6976.64111,2.68E-05,6.00E-07
7024.35693,2.57E-05,5.85E-07
7072.39844,2.46E-05,5.70E-07
7120.76904,1.79E-05,4.44E-06
7169.46973,2.26E-05,4.34E-06
7218.50439,2.50E-05,4.24E-06
7267.87354,2.51E-05,4.14E-06
7317.58105,2.52E-05,4.05E-06
7367.62793,2.51E-05,3.95E-06
7418.01807,2.50E-05,3.86E-06
7468.75195,2.49E-05,3.77E-06
7519.83301,2.47E-05,3.68E-06
7571.26318,2.45E-05,3.59E-06
7623.04541,2.43E-05,3.51E-06
7675.18164,2.41E-05,3.43E-06
7727.6748,2.39E-05,3.35E-06
7780.52686,2.37E-05,3.27E-06
7833.74023,2.34E-05,3.19E-06
7887.31787,2.32E-05,3.11E-06
7941.26123,2.29E-05,3.04E-06
7995.57422,2.27E-05,2.97E-06
8050.25879,2.25E-05,2.90E-06
8105.31641,2.22E-05,2.83E-06
8160.75146,2.20E-05,2.76E-06
8216.56543,2.17E-05,2.70E-06
8272.76074,2.15E-05,2.63E-06
8329.34082,2.12E-05,2.57E-06
8386.30762,2.10E-05,2.51E-06
8443.66406,2.07E-05,2.45E-06
8501.41309,2.05E-05,2.39E-06
8559.55664,2.02E-05,2.33E-06
8618.09863,2.00E-05,2.27E-06
8677.04004,1.98E-05,2.22E-06
8736.38574,1.95E-05,2.17E-06
8796.13574,1.93E-05,2.11E-06
8856.2959,1.91E-05,2.06E-06
8916.86621,1.88E-05,2.01E-06
8977.85156,1.86E-05,1.96E-06
9039.25391,1.84E-05,1.92E-06
9101.07617,1.81E-05,1.87E-06
9163.32129,1.79E-05,1.82E-06
9225.99219,1.77E-05,1.78E-06
9289.09082,1.75E-05,1.74E-06
9352.62207,1.72E-05,1.69E-06
9416.58789,1.70E-05,1.65E-06
9480.99023,1.68E-05,1.61E-06
9545.83496,1.66E-05,1.57E-06
9611.12109,1.64E-05,1.53E-06
9676.85449,1.62E-05,1.50E-06
9743.03711,1.60E-05,1.46E-06
9809.67285,1.58E-05,1.42E-06
9876.76465,1.56E-05,1.39E-06
9944.31543,1.54E-05,1.36E-06
10012.3271,1.52E-05,1.32E-06
10080.8047,1.50E-05,1.29E-06
10149.75,1.48E-05,1.26E-06
10219.168,1.46E-05,1.23E-06
10289.0596,1.44E-05,1.20E-06
10359.4297,1.42E-05,1.17E-06
10430.2803,1.40E-05,1.14E-06
10501.6162,1.38E-05,1.11E-06
10573.4404,1.37E-05,1.08E-06
10645.7559,1.35E-05,1.06E-06
10718.5654,1.33E-05,1.03E-06
10791.873,1.31E-05,1.00E-06
10865.6816,1.30E-05,9.78E-07
10939.9961,1.28E-05,9.54E-07
11014.8174,1.26E-05,9.30E-07
11090.1504,1.25E-05,9.07E-07
11166,1.23E-05,8.84E-07
11242.3682,1.21E-05,8.62E-07
11319.2578,1.20E-05,8.41E-07
11396.6738,1.18E-05,8.20E-07
11474.6191,1.17E-05,7.99E-07
11553.0977,1.15E-05,7.79E-07
11632.1123,1.14E-05,7.60E-07
11711.6689,1.12E-05,7.41E-07
11791.7686,1.11E-05,7.22E-07
11872.416,1.09E-05,7.04E-07
11953.6152,1.08E-05,6.86E-07
12035.3701,1.06E-05,6.69E-07
12117.6836,1.05E-05,6.52E-07
12200.5596,1.03E-05,6.36E-07
12284.0029,1.02E-05,6.20E-07
12368.0176,1.01E-05,6.04E-07
12452.6064,9.93E-06,5.89E-07
12537.7734,9.80E-06,5.74E-07
12623.5225,9.67E-06,5.60E-07
12709.8594,9.54E-06,5.45E-07
12796.7852,9.41E-06,5.32E-07
12884.3066,9.28E-06,5.18E-07
12972.4268,9.16E-06,5.05E-07
13061.1484,9.04E-06,4.92E-07
13150.4785,8.91E-06,4.80E-07
13240.418,8.79E-06,4.68E-07
13330.9736,8.68E-06,4.56E-07
13422.1475,8.56E-06,4.44E-07
13513.9463,8.44E-06,4.33E-07
13606.373,8.33E-06,4.22E-07
13699.4307,8.22E-06,4.11E-07
13793.125,8.11E-06,4.01E-07
13887.4609,8.00E-06,3.91E-07
13982.4414,7.89E-06,3.81E-07
14078.0713,7.79E-06,3.71E-07
14174.3555,7.68E-06,3.62E-07
14271.2988,7.58E-06,3.52E-07
14368.9043,7.47E-06,3.43E-07
14467.1777,7.37E-06,3.35E-07
14566.123,7.27E-06,3.26E-07
14665.7461,7.18E-06,3.18E-07
14766.0498,7.08E-06,3.10E-07
14867.0391,6.98E-06,3.02E-07
14968.7188,6.89E-06,2.94E-07
15071.0947,6.80E-06,2.86E-07
15174.1709,6.70E-06,2.79E-07
15277.9512,6.61E-06,2.72E-07
15382.4414,6.52E-06,2.65E-07
15487.6475,6.44E-06,2.58E-07
15593.5713,6.35E-06,2.52E-07
15700.2207,6.26E-06,2.45E-07
15807.5996,6.18E-06,2.39E-07
15915.7129,6.09E-06,2.33E-07
16024.5645,6.01E-06,2.27E-07
16134.1631,5.93E-06,2.21E-07
16244.5088,5.85E-06,2.15E-07
16355.6104,5.77E-06,2.10E-07
16467.4727,5.69E-06,2.04E-07
16580.0977,5.61E-06,1.99E-07
16693.4922,5.54E-06,1.94E-07
16807.6641,5.46E-06,1.89E-07
16922.6191,5.39E-06,1.84E-07
17038.3574,5.32E-06,1.79E-07
17154.8887,5.24E-06,1.75E-07
17272.2148,5.17E-06,1.70E-07
17390.3457,5.10E-06,1.66E-07
17509.2832,5.03E-06,1.62E-07
17629.0352,4.96E-06,1.57E-07
17749.6055,4.90E-06,1.53E-07
17871,4.83E-06,1.49E-07
17993.2246,4.76E-06,1.45E-07
18116.2871,4.70E-06,1.42E-07
18240.1914,4.64E-06,1.38E-07
18364.9414,4.57E-06,1.34E-07
18490.543,4.51E-06,1.31E-07
18617.0059,4.45E-06,1.28E-07
18744.334,4.39E-06,1.24E-07
18872.5312,4.33E-06,1.21E-07
19001.6074,4.27E-06,1.18E-07
19131.5645,4.21E-06,1.15E-07
19262.4102,4.16E-06,1.12E-07
19394.1543,4.10E-06,1.09E-07
19526.7969,4.04E-06,1.06E-07
19660.3457,3.99E-06,1.03E-07
19794.8086,3.93E-06,1.01E-07
19930.1914,3.88E-06,9.82E-08
20066.5,3.83E-06,9.56E-08
20203.7402,3.78E-06,9.31E-08
20341.9199,3.72E-06,9.07E-08
20481.0449,3.67E-06,8.83E-08
20621.123,3.62E-06,8.61E-08
20762.1562,3.57E-06,8.38E-08
20904.1562,3.53E-06,8.16E-08
21047.125,3.48E-06,7.95E-08
21191.0723,3.43E-06,7.74E-08
21336.0039,3.38E-06,7.54E-08
21481.9277,3.34E-06,7.35E-08
21628.8496,3.29E-06,7.16E-08
21776.7754,3.25E-06,6.97E-08
21925.7148,3.20E-06,6.79E-08
22075.6699,3.16E-06,6.61E-08
22226.6543,3.12E-06,6.44E-08
22378.668,3.07E-06,6.27E-08
22531.7227,3.03E-06,6.11E-08
22685.8262,2.99E-06,5.95E-08
22840.9805,2.95E-06,5.79E-08
22997.1953,2.91E-06,5.64E-08
23154.4824,2.87E-06,5.50E-08
23312.8418,2.83E-06,5.35E-08
23472.2871,2.79E-06,5.21E-08
23632.8203,2.75E-06,5.08E-08
23794.4531,2.72E-06,4.94E-08
23957.1895,2.68E-06,4.82E-08
24121.041,2.64E-06,4.69E-08
24286.0117,2.61E-06,4.57E-08
24452.1094,2.57E-06,4.45E-08
