N1.562O.42C.0003Ar.0094,Density=0.1200E-02,
"Energy(eV),","Delta,",Beta
633.480652,5.85E-07,2.20E-07
636.188293,5.82E-07,2.17E-07
638.907349,5.78E-07,2.14E-07
641.638184,5.75E-07,2.11E-07
644.380554,5.71E-07,2.07E-07
647.134705,5.68E-07,2.04E-07
649.900635,5.64E-07,2.01E-07
652.678345,5.60E-07,1.98E-07
655.468018,5.57E-07,1.95E-07
658.269531,5.53E-07,1.92E-07
661.083069,5.50E-07,1.89E-07
663.90863,5.46E-07,1.86E-07
666.746216,5.42E-07,1.84E-07
669.595947,5.39E-07,1.81E-07
672.457886,5.35E-07,1.78E-07
675.332031,5.31E-07,1.75E-07
678.218445,5.28E-07,1.73E-07
681.117249,5.24E-07,1.70E-07
684.028381,5.20E-07,1.68E-07
686.951965,5.17E-07,1.65E-07
689.888062,5.13E-07,1.63E-07
692.836792,5.10E-07,1.60E-07
695.797974,5.06E-07,1.58E-07
698.771912,5.02E-07,1.56E-07
701.758484,4.99E-07,1.54E-07
704.757935,4.95E-07,1.51E-07
707.770081,4.92E-07,1.49E-07
710.795227,4.88E-07,1.47E-07
713.833191,4.85E-07,1.45E-07
716.884216,4.81E-07,1.42E-07
719.948242,4.78E-07,1.40E-07
723.025391,4.75E-07,1.38E-07
726.115662,4.71E-07,1.36E-07
729.219116,4.68E-07,1.34E-07
732.335938,4.64E-07,1.32E-07
735.466003,4.61E-07,1.30E-07
738.609436,4.57E-07,1.28E-07
741.766357,4.54E-07,1.26E-07
744.936707,4.51E-07,1.24E-07
748.120667,4.47E-07,1.22E-07
751.318237,4.44E-07,1.21E-07
754.529419,4.41E-07,1.19E-07
757.754333,4.37E-07,1.17E-07
760.993042,4.34E-07,1.15E-07
764.245605,4.31E-07,1.14E-07
767.512085,4.28E-07,1.12E-07
770.792542,4.24E-07,1.10E-07
774.086975,4.21E-07,1.08E-07
777.395508,4.18E-07,1.07E-07
780.71814,4.15E-07,1.05E-07
784.054993,4.12E-07,1.04E-07
787.406128,4.09E-07,1.02E-07
790.771606,4.06E-07,1.00E-07
794.151428,4.02E-07,9.88E-08
797.545715,3.99E-07,9.73E-08
800.954529,3.96E-07,9.58E-08
804.377869,3.93E-07,9.43E-08
807.815857,3.90E-07,9.29E-08
811.268555,3.87E-07,9.14E-08
814.736023,3.84E-07,9.00E-08
818.218262,3.81E-07,8.86E-08
821.715393,3.78E-07,8.72E-08
825.227478,3.75E-07,8.59E-08
828.754578,3.72E-07,8.45E-08
832.296814,3.69E-07,8.32E-08
835.854126,3.66E-07,8.19E-08
839.426636,3.63E-07,8.07E-08
843.014404,3.60E-07,7.94E-08
846.617554,3.57E-07,7.82E-08
850.236145,3.55E-07,7.70E-08
853.870117,3.52E-07,7.58E-08
857.519653,3.49E-07,7.47E-08
861.184753,3.46E-07,7.35E-08
864.86554,3.43E-07,7.24E-08
868.562073,3.41E-07,7.13E-08
872.274414,3.38E-07,7.02E-08
876.002563,3.35E-07,6.92E-08
879.746704,3.32E-07,6.81E-08
883.506836,3.30E-07,6.71E-08
887.28302,3.27E-07,6.61E-08
891.075378,3.24E-07,6.51E-08
894.883911,3.22E-07,6.41E-08
898.70874,3.19E-07,6.31E-08
902.549927,3.17E-07,6.21E-08
906.407471,3.14E-07,6.12E-08
910.281616,3.11E-07,6.03E-08
914.172241,3.09E-07,5.94E-08
918.079468,3.06E-07,5.85E-08
922.003418,3.04E-07,5.76E-08
925.944153,3.01E-07,5.67E-08
929.901794,2.99E-07,5.58E-08
933.876282,2.97E-07,5.49E-08
937.867737,2.94E-07,5.41E-08
941.876282,2.92E-07,5.33E-08
945.901917,2.89E-07,5.24E-08
949.944824,2.87E-07,5.16E-08
954.005005,2.85E-07,5.08E-08
958.08252,2.82E-07,5.00E-08
962.177429,2.80E-07,4.92E-08
966.289856,2.78E-07,4.85E-08
970.419922,2.75E-07,4.77E-08
974.567566,2.73E-07,4.70E-08
978.733032,2.71E-07,4.63E-08
982.916199,2.69E-07,4.55E-08
987.11731,2.66E-07,4.48E-08
991.336365,2.64E-07,4.41E-08
995.573425,2.62E-07,4.34E-08
999.828552,2.60E-07,4.28E-08
1004.10199,2.58E-07,4.21E-08
1008.39355,2.56E-07,4.15E-08
1012.70355,2.53E-07,4.08E-08
1017.03192,2.51E-07,4.02E-08
1021.37885,2.49E-07,3.96E-08
1025.74426,2.47E-07,3.89E-08
1030.12842,2.45E-07,3.83E-08
1034.53137,2.43E-07,3.77E-08
1038.95312,2.41E-07,3.72E-08
1043.39355,2.39E-07,3.66E-08
1047.85327,2.37E-07,3.60E-08
1052.33179,2.35E-07,3.54E-08
1056.82959,2.33E-07,3.49E-08
1061.34656,2.31E-07,3.43E-08
1065.88293,2.29E-07,3.38E-08
1070.4386,2.27E-07,3.33E-08
1075.01379,2.25E-07,3.28E-08
1079.6084,2.23E-07,3.22E-08
1084.22278,2.22E-07,3.17E-08
1088.85693,2.20E-07,3.12E-08
1093.51074,2.18E-07,3.07E-08
1098.18457,2.16E-07,3.03E-08
1102.8783,2.14E-07,2.98E-08
1107.59216,2.12E-07,2.93E-08
1112.32617,2.11E-07,2.89E-08
1117.08032,2.09E-07,2.84E-08
1121.85474,2.07E-07,2.80E-08
1126.64978,2.05E-07,2.75E-08
1131.46509,2.04E-07,2.71E-08
1136.30115,2.02E-07,2.67E-08
1141.15771,2.00E-07,2.62E-08
1146.03516,1.98E-07,2.58E-08
1150.93347,1.97E-07,2.54E-08
1155.85266,1.95E-07,2.50E-08
1160.79297,1.93E-07,2.46E-08
1165.75427,1.92E-07,2.43E-08
1170.73682,1.90E-07,2.39E-08
1175.74072,1.89E-07,2.35E-08
1180.76587,1.87E-07,2.31E-08
1185.81262,1.85E-07,2.28E-08
1190.88086,1.84E-07,2.24E-08
1195.97095,1.82E-07,2.21E-08
1201.08264,1.81E-07,2.17E-08
1206.21606,1.79E-07,2.14E-08
1211.37158,1.78E-07,2.10E-08
1216.54919,1.76E-07,2.07E-08
1221.74878,1.75E-07,2.04E-08
