Y3Al5O12,Density=4.55,
"Energy(eV),","Delta,",Beta
698.771912,0.001570062,0.000525226
701.758484,0.00155914,0.000517918
704.757935,0.00154822,0.00051059
707.770081,0.001537355,0.000503335
710.795227,0.001526563,0.000496183
713.833191,0.001515836,0.00048913
716.884216,0.001504939,0.00048208
719.948242,0.001494117,0.000475133
723.025391,0.001483371,0.000468285
726.115662,0.00147265,0.000461537
729.219116,0.001461868,0.00045489
732.335938,0.001451163,0.000448337
735.466003,0.001440534,0.00044188
738.609436,0.001429913,0.000435515
741.766357,0.001419301,0.000429241
744.936707,0.001408766,0.000423058
748.120667,0.001398308,0.000416964
751.318237,0.001387838,0.000410957
754.529419,0.001377416,0.000405036
757.754333,0.001367071,0.0003992
760.993042,0.001356802,0.000393449
764.245605,0.001346526,0.000387769
767.512085,0.001336324,0.00038217
770.792542,0.001326199,0.000376652
774.086975,0.00131613,0.000371205
777.395508,0.001306069,0.000365806
780.71814,0.001296083,0.000360486
784.054993,0.001286173,0.000355243
787.406128,0.001276281,0.000350062
790.771606,0.001266399,0.00034494
794.151428,0.001256593,0.000339892
797.545715,0.001246862,0.000334919
800.954529,0.001237135,0.000330019
804.377869,0.001227454,0.000325191
807.815857,0.001217848,0.000320434
811.268555,0.001208316,0.000315747
814.736023,0.001198779,0.000311128
818.218262,0.001189312,0.000306577
821.715393,0.001179919,0.000302092
825.227478,0.001170586,0.000297674
828.754578,0.001161263,0.00029332
832.296814,0.001152014,0.00028903
835.854126,0.001142838,0.000284803
839.426636,0.001133703,0.00028065
843.014404,0.001124596,0.000276572
846.617554,0.001115561,0.000272553
850.236145,0.0011066,0.000268593
853.870117,0.001097678,0.000264708
857.519653,0.001088811,0.000260889
861.184753,0.001080016,0.000257125
864.86554,0.001071292,0.000253415
868.562073,0.001062625,0.000249779
872.274414,0.001054027,0.000246198
876.002563,0.001045499,0.000242668
879.746704,0.001037036,0.000239189
883.506836,0.001028626,0.00023576
887.28302,0.001020284,0.00023238
891.075378,0.00101201,0.000229049
894.883911,0.001003806,0.000225766
898.70874,0.000995673,0.000222529
902.549927,0.000987607,0.00021934
906.407471,0.000979606,0.000216196
910.281616,0.000971661,0.000213064
914.172241,0.000963774,0.000209956
918.079468,0.000955951,0.000206894
922.003418,0.000948192,0.000203877
925.944153,0.000940451,0.000200848
929.901794,0.000932765,0.000197854
933.876282,0.000925142,0.000194905
937.867737,0.000917575,0.000191999
941.876282,0.00091001,0.000189126
