B4C,Density=2.52,
"Energy(eV),","Delta,",Beta
3882.15088,3.29E-05,1.59E-07
3908.7019,3.25E-05,1.55E-07
3935.43481,3.20E-05,1.51E-07
3962.35034,3.16E-05,1.47E-07
3989.4502,3.12E-05,1.43E-07
4016.73511,3.07E-05,1.39E-07
4044.20703,3.03E-05,1.35E-07
4071.86646,2.99E-05,1.31E-07
4099.71533,2.95E-05,1.27E-07
4127.75488,2.91E-05,1.24E-07
4155.98535,2.87E-05,1.21E-07
4184.40967,2.83E-05,1.17E-07
4213.02783,2.79E-05,1.14E-07
4241.84229,2.76E-05,1.11E-07
4270.85352,2.72E-05,1.08E-07
4300.06299,2.68E-05,1.05E-07
4329.47266,2.64E-05,1.02E-07
4359.08301,2.61E-05,9.90E-08
4388.89648,2.57E-05,9.63E-08
4418.91357,2.54E-05,9.36E-08
4449.13574,2.50E-05,9.10E-08
4479.56445,2.47E-05,8.85E-08
4510.20215,2.44E-05,8.61E-08
4541.04834,2.40E-05,8.37E-08
4572.10645,2.37E-05,8.14E-08
4603.37646,2.34E-05,7.91E-08
4634.85986,2.31E-05,7.69E-08
4666.55908,2.27E-05,7.48E-08
4698.47559,2.24E-05,7.27E-08
4730.60986,2.21E-05,7.07E-08
4762.96387,2.18E-05,6.87E-08
4795.53955,2.15E-05,6.68E-08
4828.3374,2.12E-05,6.50E-08
4861.35986,2.09E-05,6.32E-08
4894.60791,2.07E-05,6.14E-08
4928.08398,2.04E-05,5.97E-08
4961.78857,2.01E-05,5.81E-08
4995.72363,1.98E-05,5.65E-08
5029.89111,1.96E-05,5.49E-08
5064.29199,1.93E-05,5.34E-08
5098.92822,1.90E-05,5.19E-08
5133.80127,1.88E-05,5.05E-08
5168.91357,1.85E-05,4.91E-08
5204.26514,1.83E-05,4.77E-08
5239.8584,1.80E-05,4.64E-08
5275.69531,1.78E-05,4.51E-08
5311.77783,1.75E-05,4.38E-08
5348.10645,1.73E-05,4.26E-08
5384.68408,1.71E-05,4.14E-08
5421.51172,1.68E-05,4.03E-08
5458.59082,1.66E-05,3.92E-08
5495.92383,1.64E-05,3.81E-08
5533.51221,1.61E-05,3.70E-08
5571.35791,1.59E-05,3.60E-08
5609.46191,1.57E-05,3.50E-08
5647.82666,1.55E-05,3.40E-08
5686.45361,1.53E-05,3.31E-08
5725.34521,1.51E-05,3.22E-08
5764.50244,1.49E-05,3.13E-08
5803.92773,1.47E-05,3.04E-08
5843.62256,1.45E-05,2.96E-08
5883.58936,1.43E-05,2.88E-08
5923.82861,1.41E-05,2.80E-08
5964.34375,1.39E-05,2.72E-08
6005.13574,1.37E-05,2.64E-08
6046.20654,1.35E-05,2.57E-08
6087.55811,1.33E-05,2.50E-08
6129.19336,1.32E-05,2.43E-08
6171.1123,1.30E-05,2.36E-08
6213.31885,1.28E-05,2.30E-08
6255.81348,1.26E-05,2.23E-08
6298.59863,1.25E-05,2.17E-08
6341.67725,1.23E-05,2.11E-08
6385.0498,1.21E-05,2.05E-08
6428.71924,1.20E-05,2.00E-08
6472.68701,1.18E-05,1.94E-08
6516.95605,1.16E-05,1.89E-08
6561.52734,1.15E-05,1.83E-08
6606.40332,1.13E-05,1.78E-08
6651.58643,1.12E-05,1.73E-08
6697.0791,1.10E-05,1.69E-08
6742.88232,1.09E-05,1.64E-08
6788.99902,1.07E-05,1.59E-08
6835.43115,1.06E-05,1.55E-08
6882.18066,1.04E-05,1.51E-08
6929.25,1.03E-05,1.47E-08
6976.64111,1.01E-05,1.43E-08
7024.35693,1.00E-05,1.39E-08
7072.39844,9.87E-06,1.35E-08
7120.76904,9.74E-06,1.31E-08
7169.46973,9.60E-06,1.27E-08
7218.50439,9.47E-06,1.24E-08
7267.87354,9.35E-06,1.21E-08
7317.58105,9.22E-06,1.17E-08
7367.62793,9.09E-06,1.14E-08
7418.01807,8.97E-06,1.11E-08
7468.75195,8.85E-06,1.08E-08
7519.83301,8.73E-06,1.05E-08
7571.26318,8.61E-06,1.02E-08
7623.04541,8.49E-06,9.91E-09
7675.18164,8.38E-06,9.64E-09
7727.6748,8.26E-06,9.38E-09
7780.52686,8.15E-06,9.12E-09
7833.74023,8.04E-06,8.87E-09
7887.31787,7.93E-06,8.63E-09
7941.26123,7.82E-06,8.39E-09
7995.57422,7.72E-06,8.16E-09
8050.25879,7.61E-06,7.94E-09
8105.31641,7.51E-06,7.72E-09
8160.75146,7.41E-06,7.51E-09
8216.56543,7.31E-06,7.30E-09
8272.76074,7.21E-06,7.10E-09
8329.34082,7.11E-06,6.91E-09
8386.30762,7.01E-06,6.72E-09
8443.66406,6.92E-06,6.54E-09
8501.41309,6.83E-06,6.36E-09
8559.55664,6.73E-06,6.19E-09
8618.09863,6.64E-06,6.02E-09
8677.04004,6.55E-06,5.86E-09
8736.38574,6.46E-06,5.70E-09
8796.13574,6.37E-06,5.54E-09
8856.2959,6.29E-06,5.39E-09
8916.86621,6.20E-06,5.25E-09
8977.85156,6.12E-06,5.11E-09
9039.25391,6.04E-06,4.97E-09
9101.07617,5.95E-06,4.83E-09
9163.32129,5.87E-06,4.70E-09
9225.99219,5.79E-06,4.58E-09
9289.09082,5.72E-06,4.45E-09
9352.62207,5.64E-06,4.33E-09
9416.58789,5.56E-06,4.22E-09
9480.99023,5.49E-06,4.10E-09
9545.83496,5.41E-06,4.00E-09
9611.12109,5.34E-06,3.89E-09
9676.85449,5.27E-06,3.78E-09
9743.03711,5.19E-06,3.68E-09
9809.67285,5.12E-06,3.59E-09
9876.76465,5.05E-06,3.49E-09
9944.31543,4.99E-06,3.40E-09
10012.3271,4.92E-06,3.31E-09
10080.8047,4.85E-06,3.22E-09
10149.75,4.79E-06,3.14E-09
10219.168,4.72E-06,3.05E-09
10289.0596,4.66E-06,2.97E-09
10359.4297,4.59E-06,2.89E-09
10430.2803,4.53E-06,2.82E-09
10501.6162,4.47E-06,2.74E-09
10573.4404,4.41E-06,2.67E-09
10645.7559,4.35E-06,2.60E-09
10718.5654,4.29E-06,2.54E-09
10791.873,4.23E-06,2.47E-09
10865.6816,4.17E-06,2.41E-09
10939.9961,4.12E-06,2.34E-09
11014.8174,4.06E-06,2.28E-09
11090.1504,4.01E-06,2.22E-09
11166,3.95E-06,2.17E-09
11242.3682,3.90E-06,2.11E-09
11319.2578,3.85E-06,2.06E-09
11396.6738,3.79E-06,2.00E-09
11474.6191,3.74E-06,1.95E-09
11553.0977,3.69E-06,1.90E-09
11632.1123,3.64E-06,1.86E-09
11711.6689,3.59E-06,1.81E-09
