C,Density=2.2,
"Energy(eV),","Delta,",Beta
1269.55725,0.000296295,1.93E-05
1274.9834,0.00029373,1.90E-05
1280.43286,0.000291186,1.87E-05
1285.90564,0.000288665,1.84E-05
1291.40161,0.000286165,1.81E-05
1296.92126,0.000283685,1.78E-05
1302.46436,0.000281227,1.75E-05
1308.03137,0.00027879,1.72E-05
1313.62183,0.000276375,1.70E-05
1319.23657,0.00027398,1.67E-05
1324.875,0.000271605,1.64E-05
1330.53772,0.000269251,1.61E-05
1336.22461,0.000266918,1.59E-05
1341.93567,0.000264604,1.56E-05
1347.67126,0.000262311,1.53E-05
1353.4314,0.000260037,1.51E-05
1359.21606,0.000257783,1.48E-05
1365.02551,0.000255548,1.46E-05
1370.85974,0.000253333,1.44E-05
1376.71887,0.000251137,1.41E-05
1382.60315,0.00024896,1.39E-05
1388.51245,0.000246801,1.37E-05
1394.44727,0.000244662,1.34E-05
1400.40723,0.000242541,1.32E-05
1406.3927,0.000240438,1.30E-05
1412.40369,0.000238354,1.28E-05
1418.44043,0.000236288,1.26E-05
1424.50305,0.000234239,1.24E-05
1430.59155,0.000232209,1.22E-05
1436.70605,0.000230196,1.20E-05
1442.84668,0.000228201,1.18E-05
1449.01343,0.000226223,1.16E-05
1455.20679,0.000224262,1.14E-05
1461.42651,0.000222318,1.12E-05
1467.67273,0.000220392,1.10E-05
1473.94568,0.000218482,1.08E-05
1480.24548,0.000216588,1.07E-05
1486.57227,0.000214711,1.05E-05
1492.92603,0.000212851,1.03E-05
1499.30688,0.000211006,1.01E-05
1505.71509,0.000209178,9.98E-06
1512.15063,0.000207366,9.81E-06
1518.61377,0.000205569,9.65E-06
1525.10449,0.000203788,9.49E-06
1531.62292,0.000202021,9.34E-06
1538.16931,0.000200271,9.18E-06
1544.74353,0.000198535,9.03E-06
1551.34595,0.000196815,8.88E-06
1557.97644,0.000195109,8.73E-06
1564.6355,0.000193419,8.59E-06
1571.32288,0.000191743,8.45E-06
1578.03894,0.000190081,8.31E-06
1584.78357,0.000188434,8.17E-06
1591.55713,0.000186801,8.04E-06
1598.35962,0.000185183,7.90E-06
1605.19116,0.000183579,7.77E-06
1612.05188,0.000181988,7.65E-06
1618.94202,0.000180411,7.52E-06
1625.86157,0.000178848,7.39E-06
1632.81055,0.000177299,7.27E-06
1639.78931,0.000175763,7.15E-06
1646.79797,0.000174241,7.03E-06
1653.83655,0.000172732,6.92E-06
1660.90527,0.000171236,6.80E-06
1668.00415,0.000169753,6.69E-06
1675.1333,0.000168283,6.58E-06
1682.29309,0.000166825,6.47E-06
1689.48328,0.000165381,6.37E-06
1696.70435,0.000163949,6.26E-06
1703.9563,0.00016253,6.16E-06
1711.23914,0.000161123,6.06E-06
1718.55322,0.000159728,5.96E-06
1725.89844,0.000158345,5.86E-06
1733.27502,0.000156975,5.76E-06
1740.68335,0.000155617,5.66E-06
1748.12317,0.00015427,5.57E-06
1755.59473,0.000152935,5.48E-06
1763.09839,0.000151612,5.39E-06
1770.63403,0.0001503,5.30E-06
1778.2019,0.000148999,5.21E-06
1785.80212,0.00014771,5.12E-06
1793.43481,0.000146431,5.04E-06
1801.1001,0.000145164,4.95E-06
1808.79822,0.000143908,4.87E-06
1816.5293,0.000142663,4.79E-06
1824.29321,0.000141429,4.71E-06
1832.09045,0.000140205,4.63E-06
1839.92102,0.000138992,4.56E-06
1847.78503,0.00013779,4.48E-06
1855.68262,0.000136598,4.40E-06
1863.61401,0.000135416,4.33E-06
1871.57935,0.000134245,4.26E-06
1879.57861,0.000133084,4.19E-06
1887.61206,0.000131933,4.12E-06
1895.67993,0.000130792,4.05E-06
1903.78223,0.000129661,3.98E-06
1911.91919,0.00012854,3.92E-06
1920.09106,0.000127428,3.85E-06
1928.29761,0.000126326,3.79E-06
1936.53943,0.000125234,3.72E-06
1944.81641,0.000124151,3.66E-06
1953.12866,0.000123078,3.60E-06
1961.47656,0.000122014,3.54E-06
1969.86011,0.000120959,3.48E-06
1978.27942,0.000119914,3.42E-06
1986.73486,0.000118877,3.37E-06
1995.22644,0.00011785,3.31E-06
2003.75415,0.000116832,3.26E-06
2012.31836,0.000115822,3.20E-06
2020.91931,0.000114821,3.15E-06
2029.55701,0.00011383,3.10E-06
2038.23132,0.000112847,3.05E-06
2046.94299,0.000111872,3.00E-06
2055.69189,0.000110906,2.95E-06
2064.47827,0.000109948,2.90E-06
2073.30176,0.000108999,2.85E-06
2082.16333,0.000108057,2.80E-06
2091.06274,0.000107124,2.75E-06
2100.00024,0.000106199,2.71E-06
