Au,Density=19.32,
"Energy(eV),","Delta,",Beta
9416.58789,3.40E-05,2.75E-06
9480.99023,3.35E-05,2.68E-06
9545.83496,3.30E-05,2.61E-06
9611.12109,3.26E-05,2.55E-06
9676.85449,3.21E-05,2.49E-06
9743.03711,3.16E-05,2.43E-06
9809.67285,3.12E-05,2.37E-06
9876.76465,3.07E-05,2.31E-06
9944.31543,3.03E-05,2.25E-06
10012.3271,2.98E-05,2.20E-06
10080.8047,2.94E-05,2.14E-06
10149.75,2.90E-05,2.09E-06
10219.168,2.85E-05,2.04E-06
10289.0596,2.81E-05,1.99E-06
10359.4297,2.77E-05,1.94E-06
10430.2803,2.73E-05,1.90E-06
10501.6162,2.69E-05,1.85E-06
10573.4404,2.65E-05,1.81E-06
10645.7559,2.61E-05,1.76E-06
10718.5654,2.57E-05,1.72E-06
10791.873,2.53E-05,1.68E-06
10865.6816,2.49E-05,1.64E-06
10939.9961,2.45E-05,1.60E-06
11014.8174,2.41E-05,1.56E-06
11090.1504,2.38E-05,1.52E-06
11166,2.34E-05,1.48E-06
11242.3682,2.30E-05,1.45E-06
11319.2578,2.26E-05,1.41E-06
11396.6738,2.22E-05,1.38E-06
11474.6191,2.18E-05,1.35E-06
11553.0977,2.14E-05,1.31E-06
11632.1123,2.10E-05,1.28E-06
11711.6689,2.04E-05,1.25E-06
11791.7686,1.99E-05,1.22E-06
11872.416,1.76E-05,1.19E-06
11953.6152,1.68E-05,2.90E-06
12035.3701,1.91E-05,2.82E-06
12117.6836,1.91E-05,2.75E-06
12200.5596,1.91E-05,2.68E-06
12284.0029,1.89E-05,2.62E-06
12368.0176,1.88E-05,2.55E-06
12452.6064,1.86E-05,2.49E-06
12537.7734,1.84E-05,2.42E-06
12623.5225,1.82E-05,2.36E-06
12709.8594,1.80E-05,2.30E-06
12796.7852,1.78E-05,2.25E-06
12884.3066,1.76E-05,2.19E-06
12972.4268,1.74E-05,2.14E-06
13061.1484,1.71E-05,2.08E-06
13150.4785,1.69E-05,2.03E-06
13240.418,1.67E-05,1.98E-06
13330.9736,1.64E-05,1.93E-06
13422.1475,1.62E-05,1.88E-06
13513.9463,1.59E-05,1.83E-06
13606.373,1.55E-05,1.79E-06
13699.4307,1.46E-05,1.74E-06
13793.125,1.43E-05,2.37E-06
13887.4609,1.50E-05,2.31E-06
13982.4414,1.49E-05,2.26E-06
14078.0713,1.48E-05,2.20E-06
14174.3555,1.46E-05,2.15E-06
14271.2988,1.43E-05,2.09E-06
14368.9043,1.37E-05,2.35E-06
14467.1777,1.39E-05,2.29E-06
14566.123,1.40E-05,2.24E-06
14665.7461,1.39E-05,2.19E-06
14766.0498,1.38E-05,2.14E-06
14867.0391,1.37E-05,2.09E-06
14968.7188,1.35E-05,2.04E-06
15071.0947,1.34E-05,1.99E-06
15174.1709,1.32E-05,1.94E-06
15277.9512,1.31E-05,1.90E-06
15382.4414,1.29E-05,1.85E-06
15487.6475,1.28E-05,1.81E-06
15593.5713,1.26E-05,1.77E-06
15700.2207,1.25E-05,1.72E-06
15807.5996,1.24E-05,1.68E-06
15915.7129,1.22E-05,1.64E-06
16024.5645,1.21E-05,1.60E-06
16134.1631,1.19E-05,1.57E-06
16244.5088,1.18E-05,1.53E-06
16355.6104,1.16E-05,1.49E-06
16467.4727,1.15E-05,1.46E-06
16580.0977,1.13E-05,1.42E-06
16693.4922,1.12E-05,1.39E-06
16807.6641,1.11E-05,1.36E-06
16922.6191,1.09E-05,1.32E-06
17038.3574,1.08E-05,1.29E-06
17154.8887,1.07E-05,1.26E-06
17272.2148,1.05E-05,1.23E-06
17390.3457,1.04E-05,1.20E-06
17509.2832,1.03E-05,1.17E-06
17629.0352,1.01E-05,1.14E-06
17749.6055,9.99E-06,1.12E-06
17871,9.87E-06,1.09E-06
17993.2246,9.74E-06,1.06E-06
18116.2871,9.62E-06,1.04E-06
