Pt,Density=21.45,
"Energy(eV),","Delta,",Beta
2250.39819,0.00036883,0.000336743
2265.78931,0.000381996,0.000328946
2281.28564,0.000389933,0.000321331
2296.88818,0.000396606,0.000313891
2312.59717,0.000401136,0.000306623
2328.41406,0.000404542,0.000299523
2344.33862,0.000406913,0.000292588
2360.37231,0.000408278,0.000285814
2376.51562,0.000409142,0.000279196
2392.76929,0.000409083,0.000272732
2409.13403,0.000408793,0.000266418
2425.61108,0.000407691,0.000260249
2442.20068,0.000406405,0.000254224
2458.90356,0.000404555,0.000248338
2475.7207,0.000402444,0.000242589
2492.65283,0.00039994,0.000236972
2509.70093,0.000397077,0.000231485
2526.86548,0.000393941,0.000226125
2544.14746,0.000390269,0.00022089
2561.54785,0.000386425,0.000215776
2579.06689,0.000381586,0.00021078
2596.70605,0.000376378,0.0002059
2614.46582,0.000367525,0.000201132
2632.34692,0.000348489,0.000196476
2650.35034,0.000327457,0.000222077
2668.47681,0.000358677,0.000216894
2686.72754,0.000361928,0.000211831
2705.10278,0.000362992,0.000206887
2723.60376,0.000362633,0.000202058
2742.23145,0.000361378,0.000197342
2760.98633,0.000359851,0.000192736
2779.86963,0.000357734,0.000188237
2798.88208,0.000355528,0.000183844
2818.02441,0.000352957,0.000179552
2837.29761,0.000350293,0.000175362
2856.70288,0.000347407,0.000171269
2876.24072,0.000344394,0.000167271
2895.91211,0.000341242,0.000163367
2915.71826,0.000337906,0.000159554
2935.65991,0.000334486,0.00015583
2955.73755,0.000330723,0.000152193
2975.95288,0.000326918,0.000148641
2996.3064,0.000321822,0.000145171
3016.79907,0.00031355,0.000141783
3037.43164,0.000307451,0.000147055
3058.20581,0.000313203,0.000143656
3079.12183,0.000311423,0.000140337
3100.18091,0.000309232,0.000137094
3121.38379,0.000306671,0.000133927
3142.73218,0.000303888,0.000130832
3164.22607,0.00030102,0.000127809
3185.86719,0.00029795,0.000124855
3207.65649,0.000294861,0.000121971
3229.59448,0.000291496,0.000119152
3251.68286,0.000287937,0.000116399
3273.92188,0.000283573,0.00011371
3296.31323,0.000273125,0.000115888
3318.85791,0.000276393,0.000113227
3341.55664,0.000276525,0.000110627
3364.4104,0.000274282,0.000108086
3387.42065,0.000271788,0.000105604
3410.58838,0.00026922,0.000103179
3433.91431,0.00026653,0.00010081
3457.40015,0.000263841,9.85E-05
3481.04614,0.000261087,9.62E-05
3504.85425,0.000258342,9.40E-05
3528.82495,0.00025557,9.19E-05
3552.95972,0.000252802,8.98E-05
3577.25952,0.000250032,8.77E-05
3601.72559,0.000247263,8.57E-05
3626.35864,0.000244506,8.37E-05
3651.1604,0.00024175,8.18E-05
3676.13208,0.000239016,7.99E-05
3701.27417,0.000236279,7.81E-05
3726.58813,0.000233566,7.63E-05
3752.07568,0.000230855,7.45E-05
3777.73706,0.000228167,7.28E-05
3803.57422,0.000225491,7.11E-05
3829.58813,0.000222836,6.95E-05
3855.77979,0.000220201,6.79E-05
3882.15088,0.000217586,6.63E-05
3908.7019,0.000214996,6.48E-05
3935.43481,0.000212418,6.33E-05
3962.35034,0.000209867,6.18E-05
3989.4502,0.00020732,6.04E-05
4016.73511,0.0002048,5.89E-05
4044.20703,0.000202295,5.76E-05
4071.86646,0.000199815,5.62E-05
4099.71533,0.000197353,5.49E-05
4127.75488,0.000194914,5.36E-05
4155.98535,0.000192498,5.24E-05
4184.40967,0.000190102,5.12E-05
4213.02783,0.000187732,5.00E-05
4241.84229,0.00018538,4.88E-05
4270.85352,0.000183056,4.77E-05
4300.06299,0.000180751,4.66E-05
4329.47266,0.000178472,4.55E-05
4359.08301,0.000176216,4.44E-05
4388.89648,0.000173985,4.34E-05
4418.91357,0.000171776,4.24E-05
4449.13574,0.000169592,4.14E-05
4479.56445,0.000167431,4.04E-05
4510.20215,0.000165288,3.95E-05
4541.04834,0.000163168,3.85E-05
4572.10645,0.000161066,3.76E-05
4603.37646,0.00015899,3.67E-05
4634.85986,0.000156934,3.59E-05
4666.55908,0.000154904,3.50E-05
4698.47559,0.000152897,3.42E-05
4730.60986,0.000150914,3.34E-05
4762.96387,0.000148955,3.26E-05
4795.53955,0.000147019,3.19E-05
4828.3374,0.000145107,3.11E-05
4861.35986,0.000143226,3.04E-05
4894.60791,0.000141371,2.97E-05
4928.08398,0.000139531,2.90E-05
4961.78857,0.000137709,2.83E-05
4995.72363,0.000135873,2.76E-05
