Y3Al5O12,Density=4.55,
"Energy(eV),","Delta,",Beta
5239.8584,3.26E-05,1.93E-06
5275.69531,3.21E-05,1.88E-06
5311.77783,3.17E-05,1.83E-06
5348.10645,3.13E-05,1.79E-06
5384.68408,3.08E-05,1.74E-06
5421.51172,3.04E-05,1.70E-06
5458.59082,3.00E-05,1.66E-06
5495.92383,2.96E-05,1.62E-06
5533.51221,2.92E-05,1.58E-06
5571.35791,2.88E-05,1.54E-06
5609.46191,2.84E-05,1.50E-06
5647.82666,2.80E-05,1.46E-06
5686.45361,2.76E-05,1.42E-06
5725.34521,2.72E-05,1.39E-06
5764.50244,2.69E-05,1.35E-06
5803.92773,2.65E-05,1.32E-06
5843.62256,2.61E-05,1.29E-06
5883.58936,2.58E-05,1.25E-06
5923.82861,2.54E-05,1.22E-06
5964.34375,2.51E-05,1.19E-06
6005.13574,2.48E-05,1.16E-06
6046.20654,2.44E-05,1.13E-06
6087.55811,2.41E-05,1.11E-06
6129.19336,2.37E-05,1.08E-06
6171.1123,2.34E-05,1.05E-06
6213.31885,2.31E-05,1.02E-06
6255.81348,2.28E-05,9.98E-07
6298.59863,2.25E-05,9.73E-07
6341.67725,2.22E-05,9.49E-07
6385.0498,2.19E-05,9.25E-07
6428.71924,2.16E-05,9.02E-07
6472.68701,2.13E-05,8.80E-07
6516.95605,2.10E-05,8.58E-07
6561.52734,2.07E-05,8.36E-07
6606.40332,2.04E-05,8.15E-07
6651.58643,2.01E-05,7.95E-07
6697.0791,1.99E-05,7.75E-07
6742.88232,1.96E-05,7.55E-07
6788.99902,1.93E-05,7.36E-07
6835.43115,1.91E-05,7.18E-07
6882.18066,1.88E-05,7.00E-07
6929.25,1.85E-05,6.82E-07
6976.64111,1.83E-05,6.65E-07
7024.35693,1.80E-05,6.48E-07
7072.39844,1.78E-05,6.32E-07
7120.76904,1.75E-05,6.16E-07
7169.46973,1.73E-05,6.01E-07
7218.50439,1.71E-05,5.86E-07
7267.87354,1.68E-05,5.71E-07
7317.58105,1.66E-05,5.57E-07
7367.62793,1.64E-05,5.43E-07
7418.01807,1.62E-05,5.29E-07
7468.75195,1.59E-05,5.16E-07
7519.83301,1.57E-05,5.03E-07
7571.26318,1.55E-05,4.90E-07
7623.04541,1.53E-05,4.78E-07
7675.18164,1.51E-05,4.66E-07
7727.6748,1.49E-05,4.54E-07
7780.52686,1.47E-05,4.43E-07
7833.74023,1.45E-05,4.32E-07
7887.31787,1.43E-05,4.21E-07
7941.26123,1.41E-05,4.10E-07
7995.57422,1.39E-05,4.00E-07
8050.25879,1.37E-05,3.90E-07
8105.31641,1.35E-05,3.80E-07
8160.75146,1.33E-05,3.70E-07
8216.56543,1.31E-05,3.61E-07
8272.76074,1.30E-05,3.51E-07
8329.34082,1.28E-05,3.42E-07
8386.30762,1.26E-05,3.33E-07
8443.66406,1.24E-05,3.24E-07
8501.41309,1.23E-05,3.15E-07
8559.55664,1.21E-05,3.07E-07
8618.09863,1.19E-05,2.99E-07
8677.04004,1.18E-05,2.91E-07
8736.38574,1.16E-05,2.83E-07
8796.13574,1.14E-05,2.76E-07
8856.2959,1.13E-05,2.69E-07
8916.86621,1.11E-05,2.62E-07
8977.85156,1.10E-05,2.55E-07
9039.25391,1.08E-05,2.48E-07
9101.07617,1.07E-05,2.41E-07
9163.32129,1.05E-05,2.35E-07
9225.99219,1.04E-05,2.29E-07
9289.09082,1.03E-05,2.23E-07
9352.62207,1.01E-05,2.17E-07
9416.58789,9.97E-06,2.11E-07
9480.99023,9.83E-06,2.06E-07
9545.83496,9.70E-06,2.00E-07
9611.12109,9.57E-06,1.95E-07
9676.85449,9.44E-06,1.90E-07
9743.03711,9.31E-06,1.85E-07
9809.67285,9.18E-06,1.80E-07
9876.76465,9.05E-06,1.75E-07
9944.31543,8.93E-06,1.71E-07
10012.3271,8.81E-06,1.66E-07
10080.8047,8.68E-06,1.62E-07
10149.75,8.57E-06,1.58E-07
10219.168,8.45E-06,1.54E-07
10289.0596,8.33E-06,1.50E-07
10359.4297,8.22E-06,1.46E-07
10430.2803,8.10E-06,1.42E-07
10501.6162,7.99E-06,1.39E-07
10573.4404,7.88E-06,1.35E-07
10645.7559,7.78E-06,1.32E-07
10718.5654,7.67E-06,1.28E-07
10791.873,7.56E-06,1.25E-07
10865.6816,7.46E-06,1.22E-07
10939.9961,7.36E-06,1.19E-07
11014.8174,7.26E-06,1.16E-07
11090.1504,7.16E-06,1.13E-07
11166,7.06E-06,1.10E-07
11242.3682,6.96E-06,1.07E-07
11319.2578,6.87E-06,1.04E-07
11396.6738,6.77E-06,1.02E-07
11474.6191,6.68E-06,9.90E-08
11553.0977,6.59E-06,9.64E-08
11632.1123,6.50E-06,9.39E-08
11711.6689,6.41E-06,9.15E-08
11791.7686,6.32E-06,8.92E-08
11872.416,6.23E-06,8.69E-08
11953.6152,6.15E-06,8.47E-08
12035.3701,6.06E-06,8.25E-08
12117.6836,5.98E-06,8.04E-08
12200.5596,5.90E-06,7.83E-08
12284.0029,5.82E-06,7.63E-08
12368.0176,5.74E-06,7.44E-08
12452.6064,5.66E-06,7.25E-08
12537.7734,5.58E-06,7.06E-08
12623.5225,5.50E-06,6.88E-08
12709.8594,5.43E-06,6.70E-08
12796.7852,5.35E-06,6.53E-08
12884.3066,5.28E-06,6.36E-08
12972.4268,5.21E-06,6.20E-08
