Si,Density=2.33,
"Energy(eV),","Delta,",Beta
7317.58105,9.19E-06,2.51E-07
7367.62793,9.06E-06,2.44E-07
7418.01807,8.94E-06,2.38E-07
7468.75195,8.82E-06,2.32E-07
7519.83301,8.70E-06,2.26E-07
7571.26318,8.58E-06,2.20E-07
7623.04541,8.46E-06,2.14E-07
7675.18164,8.34E-06,2.08E-07
7727.6748,8.23E-06,2.03E-07
7780.52686,8.12E-06,1.98E-07
7833.74023,8.01E-06,1.92E-07
7887.31787,7.90E-06,1.87E-07
7941.26123,7.79E-06,1.82E-07
7995.57422,7.68E-06,1.78E-07
8050.25879,7.58E-06,1.73E-07
8105.31641,7.47E-06,1.68E-07
8160.75146,7.37E-06,1.64E-07
8216.56543,7.27E-06,1.60E-07
8272.76074,7.17E-06,1.55E-07
8329.34082,7.07E-06,1.51E-07
8386.30762,6.98E-06,1.47E-07
8443.66406,6.88E-06,1.43E-07
8501.41309,6.79E-06,1.40E-07
8559.55664,6.69E-06,1.36E-07
8618.09863,6.60E-06,1.32E-07
8677.04004,6.51E-06,1.29E-07
8736.38574,6.42E-06,1.25E-07
8796.13574,6.33E-06,1.22E-07
8856.2959,6.25E-06,1.19E-07
8916.86621,6.16E-06,1.16E-07
8977.85156,6.08E-06,1.13E-07
9039.25391,6.00E-06,1.10E-07
9101.07617,5.91E-06,1.07E-07
9163.32129,5.83E-06,1.04E-07
9225.99219,5.75E-06,1.01E-07
9289.09082,5.67E-06,9.86E-08
9352.62207,5.60E-06,9.60E-08
9416.58789,5.52E-06,9.35E-08
9480.99023,5.44E-06,9.10E-08
9545.83496,5.37E-06,8.86E-08
9611.12109,5.30E-06,8.63E-08
9676.85449,5.22E-06,8.40E-08
9743.03711,5.15E-06,8.18E-08
9809.67285,5.08E-06,7.96E-08
9876.76465,5.01E-06,7.75E-08
9944.31543,4.94E-06,7.54E-08
10012.3271,4.88E-06,7.34E-08
10080.8047,4.81E-06,7.15E-08
10149.75,4.74E-06,6.96E-08
10219.168,4.68E-06,6.78E-08
10289.0596,4.62E-06,6.60E-08
10359.4297,4.55E-06,6.42E-08
10430.2803,4.49E-06,6.25E-08
10501.6162,4.43E-06,6.09E-08
10573.4404,4.37E-06,5.92E-08
10645.7559,4.31E-06,5.77E-08
10718.5654,4.25E-06,5.61E-08
10791.873,4.19E-06,5.46E-08
10865.6816,4.13E-06,5.32E-08
10939.9961,4.08E-06,5.18E-08
11014.8174,4.02E-06,5.04E-08
11090.1504,3.97E-06,4.91E-08
11166,3.91E-06,4.78E-08
11242.3682,3.86E-06,4.65E-08
11319.2578,3.81E-06,4.53E-08
11396.6738,3.76E-06,4.41E-08
11474.6191,3.70E-06,4.29E-08
11553.0977,3.65E-06,4.18E-08
11632.1123,3.60E-06,4.07E-08
11711.6689,3.55E-06,3.96E-08
11791.7686,3.51E-06,3.85E-08
11872.416,3.46E-06,3.75E-08
11953.6152,3.41E-06,3.65E-08
12035.3701,3.36E-06,3.55E-08
12117.6836,3.32E-06,3.46E-08
12200.5596,3.27E-06,3.37E-08
12284.0029,3.23E-06,3.28E-08
12368.0176,3.18E-06,3.19E-08
12452.6064,3.14E-06,3.11E-08
12537.7734,3.10E-06,3.02E-08
12623.5225,3.06E-06,2.94E-08
12709.8594,3.01E-06,2.86E-08
12796.7852,2.97E-06,2.79E-08
12884.3066,2.93E-06,2.71E-08
12972.4268,2.89E-06,2.64E-08
13061.1484,2.85E-06,2.57E-08
13150.4785,2.81E-06,2.50E-08
13240.418,2.78E-06,2.44E-08
13330.9736,2.74E-06,2.37E-08
13422.1475,2.70E-06,2.31E-08
13513.9463,2.66E-06,2.25E-08
13606.373,2.63E-06,2.19E-08
13699.4307,2.59E-06,2.13E-08
13793.125,2.56E-06,2.07E-08
13887.4609,2.52E-06,2.02E-08
13982.4414,2.49E-06,1.96E-08
14078.0713,2.45E-06,1.91E-08
14174.3555,2.42E-06,1.86E-08
14271.2988,2.39E-06,1.81E-08
14368.9043,2.35E-06,1.76E-08
14467.1777,2.32E-06,1.72E-08
14566.123,2.29E-06,1.67E-08
14665.7461,2.26E-06,1.62E-08
14766.0498,2.23E-06,1.58E-08
14867.0391,2.20E-06,1.54E-08
14968.7188,2.17E-06,1.50E-08
15071.0947,2.14E-06,1.46E-08
15174.1709,2.11E-06,1.42E-08
15277.9512,2.08E-06,1.38E-08
15382.4414,2.05E-06,1.34E-08
15487.6475,2.02E-06,1.31E-08
15593.5713,2.00E-06,1.27E-08
15700.2207,1.97E-06,1.24E-08
15807.5996,1.94E-06,1.21E-08
15915.7129,1.92E-06,1.17E-08
16024.5645,1.89E-06,1.14E-08
16134.1631,1.86E-06,1.11E-08
16244.5088,1.84E-06,1.08E-08
16355.6104,1.81E-06,1.05E-08
16467.4727,1.79E-06,1.03E-08
16580.0977,1.77E-06,9.99E-09
16693.4922,1.74E-06,9.72E-09
16807.6641,1.72E-06,9.47E-09
16922.6191,1.69E-06,9.21E-09
17038.3574,1.67E-06,8.97E-09
17154.8887,1.65E-06,8.73E-09
17272.2148,1.63E-06,8.50E-09
17390.3457,1.60E-06,8.27E-09
17509.2832,1.58E-06,8.05E-09
17629.0352,1.56E-06,7.83E-09
17749.6055,1.54E-06,7.63E-09
17871,1.52E-06,7.42E-09
17993.2246,1.50E-06,7.22E-09
18116.2871,1.48E-06,7.03E-09
18240.1914,1.46E-06,6.84E-09
18364.9414,1.44E-06,6.66E-09
18490.543,1.42E-06,6.48E-09
18617.0059,1.40E-06,6.31E-09
18744.334,1.38E-06,6.14E-09
