C,Density=3.52,
"Energy(eV),","Delta,",Beta
17749.6055,2.32E-06,9.02E-10
17871,2.29E-06,8.83E-10
17993.2246,2.26E-06,8.64E-10
18116.2871,2.23E-06,8.46E-10
18240.1914,2.20E-06,8.29E-10
18364.9414,2.17E-06,8.11E-10
18490.543,2.14E-06,7.95E-10
18617.0059,2.11E-06,7.78E-10
18744.334,2.08E-06,7.63E-10
18872.5312,2.05E-06,7.47E-10
19001.6074,2.02E-06,7.32E-10
19131.5645,2.00E-06,7.18E-10
19262.4102,1.97E-06,7.04E-10
19394.1543,1.94E-06,6.90E-10
19526.7969,1.92E-06,6.76E-10
19660.3457,1.89E-06,6.63E-10
19794.8086,1.86E-06,6.51E-10
19930.1914,1.84E-06,6.40E-10
20066.5,1.81E-06,6.28E-10
20203.7402,1.79E-06,6.16E-10
20341.9199,1.76E-06,6.04E-10
20481.0449,1.74E-06,5.93E-10
20621.123,1.72E-06,5.82E-10
20762.1562,1.69E-06,5.71E-10
20904.1562,1.67E-06,5.60E-10
21047.125,1.65E-06,5.49E-10
21191.0723,1.63E-06,5.39E-10
21336.0039,1.60E-06,5.29E-10
21481.9277,1.58E-06,5.20E-10
21628.8496,1.56E-06,5.11E-10
21776.7754,1.54E-06,5.01E-10
21925.7148,1.52E-06,4.93E-10
22075.6699,1.50E-06,4.84E-10
22226.6543,1.48E-06,4.75E-10
22378.668,1.46E-06,4.67E-10
22531.7227,1.44E-06,4.59E-10
22685.8262,1.42E-06,4.51E-10
22840.9805,1.40E-06,4.44E-10
22997.1953,1.38E-06,4.36E-10
23154.4824,1.36E-06,4.29E-10
23312.8418,1.34E-06,4.22E-10
23472.2871,1.33E-06,4.15E-10
23632.8203,1.31E-06,4.09E-10
23794.4531,1.29E-06,4.02E-10
23957.1895,1.27E-06,3.96E-10
24121.041,1.25E-06,3.90E-10
24286.0117,1.24E-06,3.83E-10
24452.1094,1.22E-06,3.78E-10
24619.3457,1.20E-06,3.72E-10
24787.7246,1.19E-06,3.66E-10
24957.2559,1.17E-06,3.61E-10
25127.9473,1.16E-06,3.55E-10
25299.8047,1.14E-06,3.50E-10
25472.8379,1.13E-06,3.45E-10
25647.0547,1.11E-06,3.40E-10
25822.4629,1.09E-06,3.35E-10
25999.0703,1.08E-06,3.30E-10
26176.8848,1.07E-06,3.26E-10
26355.918,1.05E-06,3.21E-10
26536.1738,1.04E-06,3.17E-10
26717.6621,1.02E-06,3.12E-10
26900.3945,1.01E-06,3.08E-10
27084.373,9.95E-07,3.04E-10
27269.6113,9.82E-07,3.00E-10
27456.1172,9.69E-07,2.96E-10
27643.8984,9.55E-07,2.92E-10
27832.9648,9.42E-07,2.88E-10
28023.3203,9.30E-07,2.84E-10
28214.9805,9.17E-07,2.81E-10
28407.9531,9.05E-07,2.77E-10
28602.2441,8.92E-07,2.74E-10
28797.8633,8.80E-07,2.70E-10
28994.8223,8.68E-07,2.67E-10
29193.125,8.57E-07,2.64E-10
29392.7852,8.45E-07,2.61E-10
29593.8125,8.34E-07,2.57E-10
29796.2129,8.22E-07,2.54E-10
30000,8.11E-07,2.51E-10
