Fe,Density=7.874,
"Energy(eV),","Delta,",Beta
937.867737,0.001398479,0.000867568
941.876282,0.001392715,0.000855272
945.901917,0.001386946,0.000843151
949.944824,0.001381175,0.000831201
954.005005,0.001375268,0.000819435
958.08252,0.001369072,0.000807866
962.177429,0.001362883,0.000796462
966.289856,0.0013567,0.000785218
970.419922,0.001350327,0.000774129
974.567566,0.001343807,0.000763196
978.733032,0.0013373,0.000752416
982.916199,0.001330807,0.000741789
987.11731,0.001324075,0.000731308
991.336365,0.001317298,0.000720974
995.573425,0.001310539,0.000710786
999.828552,0.001303792,0.000700741
1004.10199,0.001296817,0.00069083
1008.39355,0.001289866,0.000681059
1012.70355,0.00128294,0.000671426
1017.03192,0.001275973,0.000661917
1021.37885,0.001268857,0.000652507
1025.74426,0.00126177,0.000643231
1030.12842,0.001254712,0.000634087
1034.53137,0.001247574,0.000625041
1038.95312,0.001240365,0.000616094
1043.39355,0.001233188,0.000607276
1047.85327,0.001226043,0.000598584
1052.33179,0.001218745,0.000589967
1056.82959,0.001211418,0.000581457
1061.34656,0.001204129,0.000573071
1065.88293,0.001196875,0.000564805
1070.4386,0.001189429,0.000556656
1075.01379,0.001182018,0.000548625
1079.6084,0.001174647,0.000540711
1084.22278,0.001167276,0.00053291
1088.85693,0.001159807,0.000525222
1093.51074,0.00115238,0.000517646
1098.18457,0.001144996,0.000510178
1102.8783,0.001137581,0.000502818
1107.59216,0.001130123,0.000495563
1112.32617,0.00112271,0.000488413
1117.08032,0.001115342,0.000481366
1121.85474,0.001107922,0.000474421
1126.64978,0.001100506,0.000467576
1131.46509,0.001093137,0.00046083
1136.30115,0.001085813,0.000454182
1141.15771,0.001078419,0.00044763
1146.03516,0.001071064,0.000441174
1150.93347,0.001063756,0.00043481
1155.85266,0.001056477,0.000428538
1160.79297,0.001049157,0.000422356
1165.75427,0.001041886,0.000416263
1170.73682,0.001034662,0.000410258
1175.74072,0.001027447,0.000404339
1180.76587,0.001020224,0.000398506
1185.81262,0.001013049,0.000392756
1190.88086,0.001005923,0.00038709
1195.97095,0.00099879,0.000381505
1201.08264,0.000991678,0.000376001
1206.21606,0.000984614,0.000370577
1211.37158,0.000977599,0.00036523
1216.54919,0.000970582,0.000359961
1221.74878,0.000963607,0.000354768
1226.9707,0.00095668,0.000349649
1232.21484,0.000949794,0.000344601
1237.48145,0.0009429,0.0003396
1242.77051,0.000936055,0.000334673
1248.08228,0.000929258,0.000329816
1253.41675,0.000922488,0.000325019
1258.77393,0.000915729,0.000320273
1264.15405,0.000909017,0.000315597
1269.55725,0.000902354,0.000310988
1274.9834,0.000895687,0.000306425
1280.43286,0.000889035,0.000301914
1285.90564,0.000882432,0.00029747
1291.40161,0.000875876,0.000293091
1296.92126,0.000869298,0.000288778
1302.46436,0.000862755,0.000284528
1308.03137,0.00085626,0.00028034
1313.62183,0.000849809,0.000276215
1319.23657,0.000843351,0.00027215
1324.875,0.000836943,0.000268145
1330.53772,0.000830582,0.000264198
1336.22461,0.000824252,0.00026031
1341.93567,0.000817935,0.000256478
1347.67126,0.000811665,0.000252702
1353.4314,0.000805443,0.000248983
1359.21606,0.000799243,0.000245317
1365.02551,0.000793069,0.000241706
1370.85974,0.000786942,0.000238147
1376.71887,0.000780863,0.000234641
1382.60315,0.000774797,0.000231187
1388.51245,0.00076877,0.000227784
1394.44727,0.000762789,0.000224431
1400.40723,0.000756853,0.000221128
1406.3927,0.000750929,0.000217873
1412.40369,0.000745051,0.000214667
1418.44043,0.000739218,0.000211507
1424.50305,0.000733424,0.000208394
1430.59155,0.000727655,0.000205327
1436.70605,0.000721932,0.000202305
1442.84668,0.000716253,0.000199327
1449.01343,0.000710605,0.000196391
1455.20679,0.000704989,0.000193496
1461.42651,0.000699417,0.000190644
1467.67273,0.000693889,0.000187833
1473.94568,0.000688393,0.000185059
1480.24548,0.000682938,0.000182323
1486.57227,0.000677525,0.000179628
1492.92603,0.000672155,0.000176973
1499.30688,0.000666797,0.000174329
1505.71509,0.000661481,0.000171724
1512.15063,0.000656207,0.000169158
1518.61377,0.000650965,0.00016663
1525.10449,0.000645735,0.000164136
1531.62292,0.000640546,0.00016168
1538.16931,0.000635398,0.000159261
1544.74353,0.00063028,0.000156878
1551.34595,0.000625187,0.000154532
1557.97644,0.000620135,0.00015222
1564.6355,0.000615124,0.000149943
1571.32288,0.000610137,0.0001477
1578.03894,0.000605184,0.00014549
1584.78357,0.000600271,0.000143313
1591.55713,0.000595398,0.000141169
1598.35962,0.000590547,0.000139057
